id,name,group_id
475,Acrobolbaceae,4
476,Adelanthaceae,4
477,Allisoniaceae,4
478,Amblystegiaceae,4
479,Anastrophyllaceae,4
480,Andreaeaceae,4
481,Andreaeobryaceae,4
482,Aneuraceae,4
483,Antheliaceae,4
484,Anthocerotaceae,4
485,Archidiaceae,4
486,Arnelliaceae,4
487,Aulacomniaceae,4
488,Aytoniaceae,4
489,Balantiopsaceae,4
490,Bartramiaceae,4
491,Blasiaceae,4
492,Brachytheciaceae,4
493,Brevianthaceae,4
494,Bruchiaceae,4
495,Bryaceae,4
496,Bryobartramiaceae,4
497,Bryoxiphiaceae,4
498,Buxbaumiaceae,4
499,Calomniaceae,4
500,Calymperaceae,4
501,Calypogeiaceae,4
502,Catagoniaceae,4
503,Catoscopiaceae,4
504,Cephaloziaceae,4
505,Cephaloziellaceae,4
506,Chaetophyllopsaceae,4
507,Chonecoleaceae,4
508,Cinclidotaceae,4
509,Cleveaceae,4
510,Climaciaceae,4
511,Conocephalaceae,4
512,Corsiniaceae,4
513,Cryphaeaceae,4
514,Cyrtopodaceae,4
515,Daltoniaceae,4
516,Dendrocerotaceae,4
517,Dicnemonaceae,4
518,Dicranaceae,4
519,Diphysciaceae,4
520,Disceliaceae,4
521,Ditrichaceae,4
522,Echinodiaceae,4
523,Encalyptaceae,4
524,Entodontaceae,4
525,Ephemeraceae,4
526,Erpodiaceae,4
527,Eustichiaceae,4
528,Exormothecaceae,4
529,Fabroniaceae,4
530,Fissidentaceae,4
531,Fontinalaceae,4
532,Fossombroniaceae,4
533,Funariaceae,4
534,Geocalycaceae,4
535,Gigaspermaceae,4
536,Goebeliellaceae,4
537,Grimmiaceae,4
538,Gymnomitriaceae,4
539,Gyrothyraceae,4
540,Haplomitriaceae,4
541,Hedwigiaceae,4
542,Helicophyllaceae,4
543,Herbertaceae,4
544,Hookeriaceae,4
545,Hylocomiaceae,4
546,Hymenophytaceae,4
547,Hypnaceae,4
548,Hypnodendraceae,4
549,Hypopterygiaceae,4
550,Jackiellaceae,4
551,Jubulaceae,4
552,Jubulopsaceae,4
553,Jungermanniaceae,4
554,Lejeuneaceae,4
555,Lembophyllaceae,4
556,Lepicoleaceae,4
557,Lepidolaenaceae,4
558,Lepidoziaceae,4
559,Leptodontaceae,4
560,Lepyrodontaceae,4
561,Leskeaceae,4
562,Leucodontaceae,4
563,Leucomiaceae,4
564,Lophocoleaceae,4
565,Lophoziaceae,4
566,Lunulariaceae,4
567,Makinoaceae,4
568,Marchantiaceae,4
569,Mastigophoraceae,4
570,Meesiaceae,4
571,Mesoptychiaceae,4
572,Meteoriaceae,4
573,Metzgeriaceae,4
574,Microtheciellaceae,4
575,Mitteniaceae,4
576,Mizutaniaceae,4
577,Mniaceae,4
578,Monocarpaceae,4
579,Monocleaceae,4
580,Monosoleniaceae,4
581,Myriniaceae,4
582,Myuriaceae,4
583,Neckeraceae,4
584,Neotrichocoleaceae,4
585,Notothyladaceae,4
586,Octoblepharaceae,4
587,Oedipodiaceae,4
588,Orthorrhynchiaceae,4
589,Orthotrichaceae,4
590,Oxymitraceae,4
591,Pallaviciniaceae,4
592,Pelliaceae,4
593,Phyllodrepaniaceae,4
594,Phyllogoniaceae,4
595,Pilotrichaceae,4
596,Plagiochilaceae,4
597,Plagiotheciaceae,4
598,Pleurophascaceae,4
599,Pleuroziaceae,4
600,Pleuroziopsaceae,4
601,Polytrichaceae,4
602,Porellaceae,4
603,Pottiaceae,4
604,Prionodontaceae,4
605,Pseudoditrichaceae,4
606,Pseudolepicoleaceae,4
607,Pterigynandraceae,4
608,Pterobryaceae,4
609,Ptilidiaceae,4
610,Ptychomitriaceae,4
611,Ptychomniaceae,4
612,Racopilaceae,4
613,Radulaceae,4
614,Regmatodontaceae,4
615,Rhabdoweisiaceae,4
616,Rhachitheciaceae,4
617,Rhacocarpaceae,4
618,Rhizogoniaceae,4
619,Ricciaceae,4
620,Riellaceae,4
621,Rigodiaceae,4
622,Rutenbergiaceae,4
623,Scapaniaceae,4
624,Schistochilaceae,4
625,Schistostegaceae,4
626,Scorpidiaceae,4
627,Seligeriaceae,4
628,Sematophyllaceae,4
629,Serpotortellaceae,4
630,Sorapillaceae,4
631,Sphaerocarpaceae,4
632,Sphagnaceae,4
633,Spiridentaceae,4
634,Splachnaceae,4
635,Splachnobryaceae,4
636,Stereophyllaceae,4
637,Takakiaceae,4
638,Targioniaceae,4
639,Tetraphidaceae,4
640,Thamnobryaceae,4
641,Theliaceae,4
642,Thuidiaceae,4
643,Timmiaceae,4
644,Trachypodaceae,4
645,Treubiaceae,4
646,Trichocoleaceae,4
647,Trichotemnomataceae,4
648,Vandiemeniaceae,4
649,Vetaformaceae,4
650,Viridivelleraceae,4
651,Wardiaceae,4
652,Wiesnerellaceae,4
