id,name,group_id
425,Anemiaceae,3
426,Apleniaceae,3
427,Aspleniaceae,3
428,Athyriaceae,3
429,Blechnaceae,3
430,Cibotiaceae,3
431,Culcitaceae,3
432,Cyatheaceae,3
433,Cystodiaceae,3
434,Cystopteridaceae,3
435,Davalliaceae,3
436,Dennstaedtiaceae,3
437,Dicksoniaceae,3
438,Diplaziopsidaceae,3
439,Dipteridaceae,3
440,Dryopteridacae,3
441,Dryopteridaceae,3
442,Equisetaceae,3
443,Gleicheniaceae,3
444,Hymenophyllaceae,3
445,Hypodematiaceae,3
446,Isoëtaceae,3
447,Lindsaeaceae,3
448,Lomariopsidaceae,3
449,Lonchitidaceae,3
450,Loxsomataceae,3
451,Lycopodiaceae,3
452,Lygodiaceae,3
453,Marattiaceae,3
454,Marsileaceae,3
455,Matoniaceae,3
456,Metaxyaceae,3
457,Nephrolepidaceae,3
458,Oleandraceae,3
459,Onocleaceae,3
460,Ophioglossaceae,3
461,Osmundaceae,3
462,Plagiogyriaceae,3
463,Polypodiaceae,3
464,Psilotaceae,3
465,Pteridaceae,3
466,Rhachidosoraceae,3
467,Saccolomataceae,3
468,Salviniaceae,3
469,Schizaeaceae,3
470,Selaginellaceae,3
471,Tectariaceae,3
472,Thelypteridaceae,3
473,Thyrsopteridaceae,3
474,Woodsiaceae,3
