name,family_id
Acanthodium,1
Acanthopale,1
Acanthopsis,1
Acanthura,1
Acanthus,1
Acelica,1
Achyrocalyx,1
Adeloda,1
Adenacanthus,1
Adenostachya,1
Adhatoda,1
Aetheilema,1
Afrofittonia,1
Afromendoncia,1
Alvarezia,1
Ambongia,1
Amphiscopia,1
Ancistranthus,1
Ancistrostylis,1
Andrographis,1
Angkalanthus,1
Anisacanthus,1
Anisosepalum,1
Anisostachya,1
Anisotes,1
Anomacanthus,1
Anthacanthus,1
Antheliacanthus,1
Apassalus,1
Aphanosperma,1
Aphelandra,1
Aphelandrella,1
Aphragmia,1
Aporuellia,1
Arrhostoxylum,1
Ascotheca,1
Asystasia,1
Asystasiella,1
Athlianthus,1
Avicennia,1
Ballochia,1
Banjolea,1
Baphicacanthus,1
Barleria,1
Barleriola,1
Beloperone,1
Benoicanthus,1
Birnbaumia,1
Blechum,1
Blepharis,1
Borneacanthus,1
Boutonia,1
Brachystephanus,1
Bravaisia,1
Bremekampia,1
Brillantaisia,1
Brunoniella,1
Buceragenia,1
Buteraea,1
Calacanthus,1
Caldenbachia,1
Calophanes,1
Calophanoides,1
Calycacanthus,1
Camarotea,1
Cardanthera,1
Cardiacanthus,1
Carlowrightia,1
Celerina,1
Centrilla,1
Cephalacanthus,1
Cephalophis,1
Chaetacanthus,1
Chaetochlamys,1
Chaetothylax,1
Chalarothyrsus,1
Chamaeranthemum,1
Championella,1
Chileranthemum,1
Chingiacanthus,1
Chlamydacanthus,1
Chlamydocardia,1
Chlamydostachya,1
Chorisochora,1
Chrestienia,1
Chroesthes,1
Clarkeasia,1
Clinacanthus,1
Clistax,1
Codonacanthus,1
Conocalyx,1
Corythacanthus,1
Cosmianthemum,1
Crabbea,1
Crateola,1
Crossandra,1
Crossandrella,1
Cryphiacanthus,1
Cryptophragmium,1
Cuenotia,1
Cyclacanthus,1
Cynarospermum,1
Cyphacanthus,1
Cyrtacanthus,1
Cyrtanthera,1
Cystacanthus,1
Danguya,1
Dasytropis,1
Dianthera,1
Diapedium,1
Dichazothece,1
Dicladanthera,1
Dicliptera,1
Didyplosandra,1
Diflugossa,1
Digyroloma,1
Dinteracanthus,1
Diotacanthus,1
Dipteracanthus,1
Dischistocalyx,1
Ditrichospermum,1
Dizygandra,1
Dolichostachys,1
Dossifluga,1
Drejera,1
Drejerella,1
Duosperma,1
Duvernoia,1
Dyschoriste,1
Dyspemptemorion,1
Earlia,1
Eberlea,1
Ebermaiera,1
Ecbolium,1
Echinacanthus,1
Ecteinanthus,1
Elytraria,1
Encephalosphaera,1
Endopogon,1
Epiclastopelma,1
Eranthemum,1
Eremomastax,1
Erythracanthus,1
Ethesia,1
Eusiphon,1
Fabria,1
Filetia,1
Fittonia,1
Flavicoma,1
Forcipella,1
Forsythiopsis,1
Gantelbua,1
Gastranthus,1
Geissomeria,1
Gendarussa,1
Gerardia,1
Glockeria,1
Glossochilus,1
Goldfussia,1
Graphandra,1
Graptophyllum,1
Gutzlaffia,1
Gymnacanthus,1
Gymnophragma,1
Gymnostachyum,1
Gynocraterium,1
Gypsacanthus,1
Habracanthus,1
Haemacanthus,1
Hallieracantha,1
Hansteinia,1
Haplanthodes,1
Haplanthus,1
Harnieria,1
Harpochilus,1
Harrachia,1
Haselhoffia,1
Heinzelia,1
Hemiadelphis,1
Hemigraphis,1
Henrya,1
Herpetacanthus,1
Hesperanthemum,1
Heteradelphia,1
Hexacentris,1
Himantochilus,1
Holographis,1
Hoverdenia,1
Hulemacanthus,1
Hygrophila,1
Hymenochlaena,1
Hypoestes,1
Ichthyostoma,1
Idanthisa,1
Ionacanthus,1
Isochoriste,1
Isoglossa,1
Isotheca,1
Ixtlania,1
Jacobinia,1
Jadunia,1
Janasia,1
Juruasia,1
Justicia,1
Kalbreyeriella,1
Kanjarum,1
Kosmosiphon,1
Kudoacanthus,1
Kuestera,1
Kuniria,1
Lagochilium,1
Lankesteria,1
Lasiocladus,1
Leandriella,1
Leda,1
Leiophaca,1
Lepidacanthus,1
Lepidagathis,1
Leptacanthus,1
Leptosiphonium,1
Leptostachya,1
Leucobarleria,1
