name,family_id
Acrobolbus,475
Austrolophozia,475
Enigmella,475
Goebelobryum,475
Gymnanthe,475
Lethocolea,475
Marsupidium,475
Podanthe,475
Symphyomitra,475
Tylimanthus,475
Adelocolia,476
Calyptrocolea,476
Pseudomarsupidium,476
Wettsteinia,476
Allisonia,477
Calycularia,477
Sandeothallus,477
Acrocladium,478
Amblystegiella,478
Amblystegium,478
Apterygium,478
Callialaria,478
Calliergidium,478
Calliergon,478
Campyliadelphus,478
Campylidium,478
Campylium,478
Chrysohypnum,478
Conardia,478
Cratoneuron,478
Cratoneuropsis,478
Donrichardsia,478
Drepano-hypnum,478
Drepanocladus,478
Drepanophyllaria,478
Gradsteinia,478
Hamatocaulis,478
Harpidium,478
Hygroamblystegium,478
Hygrohypnum,478
Hypnites,478
Hypnobartlettia,478
Koponenia,478
Leptodictyum,478
Limnobium,478
Limprichtia,478
Loeskypnum,478
Ochyraea,478
Orthotheciella,478
Palustriella,478
Pictus,478
Platydictya,478
Platyhypnum,478
Platyloma,478
Platylomella,478
Pseudoamblystegium,478
Pseudocalliergon,478
Pseudocampylium,478
Pseudohygrohypnum,478
Richardsiopsis,478
Sanionia,478
Sarmentypnum,478
Sasaokaea,478
Sciaromiella,478
Sciaromiopsis,478
Scorpidium,478
Serpoleskea,478
Sinocalliergon,478
Straminergon,478
Vittia,478
Warnstorfia,478
Anastrepta,479
Anastrophyllum,479
Barbilophozia,479
Biantheridion,479
Chandonanthus,479
Crossocalyx,479
Gymnocolea,479
Hamatostrepta,479
Isopaches,479
Neoorthocaulis,479
Orthocaulis,479
Plicanthus,479
Schljakovia,479
Schljakovianthus,479
Sphenolobopsis,479
Sphenolobus,479
Tetralophozia,479
Acroschisma,480
Andreaea,480
Bicosta,480
Neuroloma,480
Andreaeobryum,481
Acrostolia,482
Aneura,482
Cryptothallus,482
Lobatiriccardia,482
Pseudoneura,482
Riccardia,482
Sarcomitrium,482
Trichostylium,482
Anthelia,483
Anthelis,483
Grollea,483
Anthoceros,484
Aspiromitus,484
Folioceros,484
Hattorioceros,484
Leiosporoceros,484
Mesoceros,484
Nothoceros,484
Paraphymatoceros,484
Phaeoceros,484
Phymatoceros,484
Sphaerosporoceros,484
Archidium,485
Pleuridium,485
Arnellia,486
Gongylanthus,486
Southbya,486
Arrhenopterum,487
Aulacomnium,487
Fusiconia,487
Gymnocephalus,487
Orthopyxis,487
Sphaerocephalus,487
Asterella,488
Aytonia,488
Cryptomitrium,488
Fimbraria,488
Fimbriaria,488
Grimaldia,488
Mannia,488
Neesiella,488
Octokepos,488
Plagiochasma,488
Reboulia,488
Ruppina,488
Acroscyphella,489
Acroscyphus,489
Austroscyphus,489
Balantiopsis,489
Eoisotachis,489
Hypoisotachis,489
Isotachis,489
Neesioscyphus,489
Rhizocaulia,489
Ruizanthus,489
Steereocolea,489
Anacolia,490
Bartramia,490
Bartramidula,490
Breutelia,490
Conostomum,490
Exodokidium,490
Fleischerobryum,490
Flowersia,490
Glyphocarpa,490
Glyphocarpus,490
Leiomela,490
Philonotis,490
Philonotula,490
Plagiopus,490
Blasia,491
Cavicularia,491
Aerolindigia,492
Brachytheciastrum,492
Brachytheciella,492
Brachythecium,492
Bryhnia,492
Bryoandersonia,492
Bryostreimannia,492
Burnettia,492
Camptothecium,492
Catagoniopsis,492
Chamberlainia,492
Cirriphyllum,492
Cratoneurella,492
Eriodon,492
Eurhynchiadelphus,492
Eurhynchiastrum,492
Eurhynchiella,492
Eurhynchium,492
Flabellidium,492
Frahmiella,492
Hedenaesia,492
Hedenasiastrum,492
Helicodontiadelphus,492
Homalotheciella,492
Homalothecium,492
Isothecium,492
Kindbergia,492
Kurohimehypnum,492
Lepyrodontopsis,492
Lindigia,492
Mandoniella,492
Microeurhynchium,492
Myuroclada,492
Nobregaea,492
Oticodium,492
Oxyrrhynchium,492
Palamocladium,492
Panckowia,492
Pancovia,492
Paramyurium,492
Platyhypnidium,492
Pleuropus,492
Pseudopleuropus,492
Pseudorhynchostegiella,492
Pseudoscleropodium,492
Remyella,492
Rhyncho-hypnum,492
Rhynchostegiella,492
Rhynchostegium,492
Sainthelenia,492
Schimperella,492
Sciuro-hypnum,492
Scleropodiopsis,492
Scleropodium,492
Scorpiurium,492
Steerecleus,492
Stenocarpidiopsis,492
Stokesiella,492
Streblopilum,492
Streimannia,492
Tomentypnum,492
Trachybryum,492
Unclejackia,492
Brevianthus,493
Bruchia,494
Eobruchia,494
Trematodon,494
Acidodontium,495
Anisostichium,495
Anomobryopsis,495
Anomobryum,495
Apalodium,495
Apiocarpa,495
Argyrobryum,495
Brachymenium,495
Bryum,495
Cladodium,495
Epipterygium,495
Erpodiopsis,495
Gemmabryum,495
Haplodontium,495
Hemisynapsium,495
Imbribryum,495
Lamprophyllum,495
Leptobryum,495
Leptochlaena,495
Leptostomopsis,495
Leptostomum,495
Microphilonotis,495
Mielichhoferia,495
Mniobryoides,495
Mniobryum,495
Ochiobryum,495
Orthodontium,495
Orthodontopsis,495
Peromnion,495
Perssonia,495
Plagiobryoides,495
Plagiobryum,495
Pohlia,495
Pseudopohlia,495
Ptychostomum,495
Rhodobryum,495
Roellia,495
Rosulabryum,495
Schizymenium,495
Stableria,495
Synthetodontium,495
Webera,495
Zieria,495
Bryobartramia,496
Bryoxiphium,497
Eustichium,497
Buxbaumia,498
Diphascum,498
Diphyscium,498
Muscoflorschuetzia,498
Theriotia,498
Calomnion,499
Arthrocormus,500
Calymperes,500
Calymperidium,500
Calymperopsis,500
Carinafolium,500
Chameleion,500
Cleistostoma,500
Codonoblepharum,500
Exodictyon,500
Exostratum,500
Heliconema,500
Leucophanella,500
Leucophanes,500
Mitthyridium,500
Orthotheca,500
Palaeosyrrhopodon,500
Syrrhopodon,500
Thyridium,500
Trachymitrium,500
Calypogeia,501
Cincinnulus,501
Eocalypogeia,501
Kantius,501
Metacalypogeia,501
Mnioloma,501
Mnium,501
Catagonium,502
Eucatagonium,502
Catoscopium,503
Alobiella,504
Alobiellopsis,504
Anomoclada,504
Cephalozia,504
Cladomastigum,504
Cladopodiella,504
Fuscocephaloziopsis,504
Haesselia,504
Hygrobiella,504
Iwatsukia,504
Metahygrobiella,504
Nowellia,504
Odontoschisma,504
Pleuroclada,504
Pleurocladula,504
Schiffneria,504
Schofieldia,504
Sphagnoecetis,504
Trabacellula,504
Trigonanthus,504
Allisoniella,505
Amphicephalozia,505
Cephalojonesia,505
Cephalomitrion,505
Cephaloziella,505
Cephaloziopsis,505
Cylindrocolea,505
Dichiton,505
Evansia,505
Kymatocalyx,505
Prionolobus,505
Protomarsupella,505
Ruttnerella,505
Stenorrhipis,505
Chaetophyllopsis,506
Herzogianthus,506
Chonecolea,507
Cinclidotus,508
Athalamia,509
Clevea,509
Peltolepis,509
Sauteria,509
Climacium,510
Conocephalum,511
Hepatica,511
Nemoursia,511
Carringtonia,512
Corsinia,512
Cronisia,512
Funicularia,512
Acrocryphaea,513
Cryphaea,513
Cryphaeophilum,513
Cryphidium,513
Cyptodon,513
Cyptodontopsis,513
Dendrocryphaea,513
Dendropogon,513
Dendropogonella,513
Groutia,513
Monocryphaea,513
Pilotrichopsis,513
Schoenobryum,513
Sphaerotheciella,513
Bescherellia,514
Cyrtopus,514
Actinodontium,515
Adelothecium,515
Amblytropis,515
Benitotania,515
Callicosta,515
Calyptrochaeta,515
Catharomnion,515
Cyathophorella,515
Daltonia,515
Distichophyllidium,515
Lepidopilum,515
Leskeodon,515
Leskeodontopsis,515
Puiggaria,515
Stenodesmus,515
Symphyodon,515
Dendroceros,516
Megaceros,516
Dicnemon,517
Eucamptodon,517
Monocranum,517
Synodontia,517
Anisothecium,518
Aongstroemia,518
Aongstroemiopsis,518
Arctoa,518
Atractylocarpus,518
Austinella,518
Braunfelsia,518
Brothera,518
Brotherobryum,518
Bryohumbertia,518
Bryotestua,518
Camptodontium,518
Campylopodiella,518
Campylopodium,518
Campylopus,518
Cardotia,518
Cecalyphum,518
Chorisodontium,518
Cladophascum,518
Cladopodanthus,518
Cnestrum,518
Cryptodicranum,518
Cynodontiella,518
Cynodontium,518
Dichodontium,518
Dicnemoloma,518
Dicranella,518
Dicranodon,518
Dicranodontium,518
Dicranoloma,518
Dicranoweisia,518
Dicranum,518
Diobelon,518
Diobelonella,518
Eucamptodontopsis,518
Gongronia,518
Holodontium,518
Holomitriopsis,518
Holomitrium,518
Hygrodicranum,518
Hymenoloma,518
Kiaeria,518
Kingiobryum,518
Leptotrichella,518
Leucobryum,518
Leucoloma,518
Macrodictyum,518
Mesotus,518
Metzlerella,518
Metzleria,518
Microcampylopus,518
Microdus,518
Mitrobryum,518
Muscoherzogia,518
Nanomitriopsis,518
Ochrobryum,518
Oncophorus,518
Oreas,518
Oreoweisia,518
Orthodicranum,518
Orthopus,518
Palaeocampylopus,518
Paraleucobryum,518
Parisia,518
Pilopogon,518
Pilopogonella,518
Platyneuron,518
Pocsiella,518
Poecilophyllum,518
Polymerodon,518
Pseudephemerum,518
Pseudochorisodontium,518
Pseudohyophila,518
Saproma,518
Schistomitrium,518
Schliephackea,518
Sclerodontium,518
Scytalina,518
Solmsia,518
Sphaerothecium,518
Spirula,518
Sporledera,518
Steyermarkiella,518
Symblepharis,518
Teretidens,518
Terrestria,518
Thiemea,518
Thysanomitrion,518
Trichodontium,518
Werneriobryum,518
Pseudotimmiella,519
Discelium,520
Aschistodon,521
Astomiopsis,521
Austrophilibertiella,521
Bryomanginia,521
Ceratodon,521
Cheilothela,521
Chrysoblastella,521
Cladastomum,521
Cleistocarpidium,521
Crumuscus,521
Cygniella,521
Cynodon,521
Cynontodium,521
Diaphanophyllum,521
Distichium,521
Ditrichopsis,521
Ditrichum,521
Eccremidium,521
Garckea,521
Leptotrichum,521
Lophiodon,521
Philibertiella,521
Pleuriditrichum,521
Pleuridium,521
Pringleella,521
Pseudodistichium,521
Rhamphidium,521
Saelania,521
Skottsbergia,521
Strombulidens,521
Swartzia,521
Trichodon,521
Tristichium,521
Wilsoniella,521
Echinodium,522
Sciaromium,522
Scleromnium,522
Bryobrittonia,523
Encalypta,523
Leersia,523
Pyramitrium,523
Pyromitrium,523
Cribrodontium,524
Cuspidaria,524
Cylindrothecium,524
Entodon,524
Erythrodontium,524
Holmgrenia,524
Mesonodon,524
Nanothecium,524
