name,family_id
Agathis,413
Araucaria,413
Columbea,413
Eutacta,413
Wollemia,413
Actinostrobus,414
Athrotaxis,414
Austrocedrus,414
Callitris,414
Callitropsis,414
Calocedrus,414
Chamaecyparis,414
Cryptomeria,414
Cunninghamia,414
Cupressus,414
Diselma,414
Fitzroya,414
Fokienia,414
Glyptostrobus,414
Juniperus,414
Libocedrus,414
Metasequoia,414
Microbiota,414
Neocallitropsis,414
Neocupropsis,414
Papuacedrus,414
Pilgerodendron,414
Platycladus,414
Retinispora,414
Sabina,414
Sequoia,414
Sequoiadendron,414
Taiwania,414
× Taxodiomeria,414
Taxodium,414
Tetraclinis,414
Thuja,414
Thujopsis,414
Widdringtonia,414
Cycas,415
Ephedra,416
Ginkgo,417
Abutua,418
Gnetum,418
Abies,419
Cathaya,419
Cedrus,419
Hesperopeuce,419
Keteleeria,419
Larix,419
Nothotsuga,419
Picea,419
Pinus,419
Pseudolarix,419
Pseudotsuga,419
Strobus,419
Tsuga,419
Acmopyle,420
Afrocarpus,420
Dacrycarpus,420
Dacrydium,420
Falcatifolium,420
Halocarpus,420
Lagarostrobos,420
Lepidothamnus,420
Manoao,420
Margbensonia,420
Microcachrys,420
Nageia,420
Parasitaxus,420
Pherosphaera,420
Phyllocladus,420
Podocarpus,420
Prumnopitys,420
Retrophyllum,420
Saxegothaea,420
Stachycarpus,420
Sundacarpus,420
Sciadopitys,421
Amentotaxus,422
Austrotaxus,422
Cephalotaxus,422
Pseudotaxus,422
Taxus,422
Torreya,422
Welwitschia,423
Bowenia,424
Ceratozamia,424
Dioon,424
Encephalartos,424
Lepidozamia,424
Macrozamia,424
Microcycas,424
Stangeria,424
Zamia,424
