id,name,family_id
1,Acanthodium,1
2,Acanthopale,1
3,Acanthopsis,1
4,Acanthura,1
5,Acanthus,1
6,Acelica,1
7,Achyrocalyx,1
8,Adeloda,1
9,Adenacanthus,1
10,Adenostachya,1
11,Adhatoda,1
12,Aetheilema,1
13,Afrofittonia,1
14,Afromendoncia,1
15,Alvarezia,1
16,Ambongia,1
17,Amphiscopia,1
18,Ancistranthus,1
19,Ancistrostylis,1
20,Andrographis,1
21,Angkalanthus,1
22,Anisacanthus,1
23,Anisosepalum,1
24,Anisostachya,1
25,Anisotes,1
26,Anomacanthus,1
27,Anthacanthus,1
28,Antheliacanthus,1
29,Apassalus,1
30,Aphanosperma,1
31,Aphelandra,1
32,Aphelandrella,1
33,Aphragmia,1
34,Aporuellia,1
35,Arrhostoxylum,1
36,Ascotheca,1
37,Asystasia,1
38,Asystasiella,1
39,Athlianthus,1
40,Avicennia,1
41,Ballochia,1
42,Banjolea,1
43,Baphicacanthus,1
44,Barleria,1
45,Barleriola,1
46,Beloperone,1
47,Benoicanthus,1
48,Birnbaumia,1
49,Blechum,1
50,Blepharis,1
51,Borneacanthus,1
52,Boutonia,1
53,Brachystephanus,1
54,Bravaisia,1
55,Bremekampia,1
56,Brillantaisia,1
57,Brunoniella,1
58,Buceragenia,1
59,Buteraea,1
60,Calacanthus,1
61,Caldenbachia,1
62,Calophanes,1
63,Calophanoides,1
64,Calycacanthus,1
65,Camarotea,1
66,Cardanthera,1
67,Cardiacanthus,1
68,Carlowrightia,1
69,Celerina,1
70,Centrilla,1
71,Cephalacanthus,1
72,Cephalophis,1
73,Chaetacanthus,1
74,Chaetochlamys,1
75,Chaetothylax,1
76,Chalarothyrsus,1
77,Chamaeranthemum,1
78,Championella,1
79,Chileranthemum,1
80,Chingiacanthus,1
81,Chlamydacanthus,1
82,Chlamydocardia,1
83,Chlamydostachya,1
84,Chorisochora,1
85,Chrestienia,1
86,Chroesthes,1
87,Clarkeasia,1
88,Clinacanthus,1
89,Clistax,1
90,Codonacanthus,1
91,Conocalyx,1
92,Corythacanthus,1
93,Cosmianthemum,1
94,Crabbea,1
95,Crateola,1
96,Crossandra,1
97,Crossandrella,1
