name,family_id
Aneimiaebotrys,425
Anemia,425
Anemidictyon,425
Hemianemia,425
Mohria,425
Ornithopteris,425
Spathepteris,425
Stormesia,426
Amesium,427
Antigramma,427
Arcasplenium,427
Asplenidictyum,427
Asplenium,427
× Asplenoceterach,427
Asplenoceterach,427
× Asplenophyllitis,427
× Asplenosorus,427
Asplenosorus,427
Biropteris,427
Boniniella,427
Caenopteris,427
Camptosorus,427
Ceterach,427
Ceterachopsis,427
× Ceterophyllitis,427
Chamaefilix,427
Darea,427
Diellia,427
Diplora,427
Eremopodium,427
Holodictyum,427
Hymenasplenium,427
Loxoscaphe,427
Micropodium,427
Neottopteris,427
Notolepeum,427
Phyllitis,427
Phyllitopsis,427
Pleurosorus,427
Schaffneria,427
Scolopendrium,427
Tarachia,427
Thamnopteris,427
Triphlebia,427
Allantodia,428
Anisocampium,428
Anisogonium,428
Athyriopsis,428
Athyrium,428
Brachysorus,428
Callipteris,428
Cornopteris,428
Deparia,428
Dictyodroma,428
Diplazium,428
Dryoathyrium,428
Hypochlamys,428
Kuniwatsukia,428
Lunathyrium,428
Monomelangium,428
Neotriblemma,428
Ochlogramma,428
Oligocampia,428
Oxygonium,428
Parathyrium,428
Pseudathyrium,428
Pseudocystopteris,428
Pteriglyphis,428
Triblemma,428
Blechnidium,429
Blechnopsis,429
Blechnopteris,429
Blechnum,429
Blechum,429
Brainea,429
Chieniopteris,429
Diploblechnum,429
Distaxia,429
Doodia,429
Homophyllum,429
Lomaria,429
Lomaridium,429
Lomariobotrys,429
Lonchitis-aspera,429
Lorinseria,429
Mesothema,429
Orthogramma,429
Parablechnum,429
Pteridoblechnum,429
Sadleria,429
Salpichlaena,429
Spicanta,429
Spicantopsis,429
Steenisioblechnum,429
Stegania,429
Stenochlaena,429
Struthiopteris,429
Woodwardia,429
Cibotium,430
Culcita,431
Actinophlebia,432
Alsophila,432
Amphicosmia,432
Amphidesmium,432
Chnoophora,432
Cnemidaria,432
Cormophyllum,432
Cyathea,432
× Cyathidaria,432
Dichorexia,432
Disphenia,432
Fourniera,432
Gymnosphaera,432
Hemistegia,432
Hemitelia,432
Hymenophyllopsis,432
Nephelea,432
Schizocaena,432
Sphaeropteris,432
Thysanobotrya,432
Trichipteris,432
Cystodiopteris,433
Acystopteris,434
Cyclopteris,434
Cystea,434
Cystoathyrium,434
Cystopteris,434
Gymnocarpium,434
Rhizomatopteris,434
Araiostegia,435
Araiostegiella,435
Davallia,435
Davallodes,435
Humata,435
Pachypleuria,435
Paradavallodes,435
Parasorus,435
Parestia,435
Pteronevron,435
Scyphularia,435
Stenochlamys,435
Stenolobus,435
Trogostolon,435
Wibelia,435
Adectum,436
Blotiella,436
Cincinalis,436
Compteris,436
Dennstaedtia,436
Emodiopteris,436
Filix-foemina,436
Histiopteris,436
Hypolepis,436
Lepidocaulon,436
Leptolepia,436
× Lindsaeosoria,436
Lindsaynium,436
Litolobium,436
Microlepia,436
Monachosorella,436
Monachosorum,436
Neuropteris,436
Oenotrichia,436
Paesia,436
Paradennstaedtia,436
Patania,436
Pteridium,436
Ptilopteris,436
Scyphofilix,436
Sitobolium,436
Sitolobium,436
Balantium,437
Calochlaena,437
Dicksonia,437
Lophosoria,437
Diplaziopsis,438
Hemidictyum,438
Homalosorus,438
Cheiropleuria,439
Dipteris,439
Phymatodes,439
Mickelia,440
Aconiopteris,441
Acropelta,441
Acrophorus,441
Acrorumohra,441
Adenoderris,441
Aetopteron,441
Amblia,441
Arachniodes,441
Arthrobotrya,441
Arthrobotrys,441
Atalopteris,441
Bolbitis,441
Botryothallus,441
Byrsopteris,441
Campium,441
Cheilolepton,441
Coveniella,441
Ctenitis,441
Cyclodium,441
Cyrtogonellum,441
Cyrtogonium,441
Cyrtomidictyum,441
Cyrtomium,441
Danaeopsis,441
Diacalpe,441
Dracoglossum,441
Dryopolystichum,441
Dryopsis,441
Dryopteris,441
× Dryostichum,441
Edanyoa,441
Egenolfia,441
Elaphoglossum,441
Filicula,441
Filix,441
Filix-mas,441
Hemesteum,441
Heteroneuron,441
Heteroneurum,441
Hymenodium,441
Hypopeltis,441
Jenkinsia,441
Lacaussadea,441
Lastrea,441
Lastreopsis,441
× Leptoarachniodes,441
Leptorumohra,441
Lithostegia,441
Lomagramma,441
Lophodium,441
Maxonia,441
Megalastrum,441
Microstaphyla,441
Monochlaena,441
Nephrodium,441
Nothoperanema,441
Olfersia,441
Papuapteris,441
Parapolystichum,441
Peltapteris,441
Peltochlaena,441
Peranema,441
Phanerophlebia,441
Phanerophlebiopsis,441
Plecosorus,441
Poecilopteris,441
Polybotrya,441
Polycampium,441
× Polysticalpe,441
Polystichopsis,441
Polystichum,441
Revwattsia,441
Rhipidopteris,441
Rumohra,441
Sorolepidium,441
Stenolepia,441
Stigmatopteris,441
Tegularia,441
Teratophyllum,441
Trichocyclus,441
Allostelites,442
Equisetum,442
Hippochaete,442
Acropterygium,443
Calymella,443
Dicranopteris,443
Diplopterygium,443
Gleichenella,443
Gleichenia,443
Gleicheniastrum,443
Hicriopteris,443
Mertensia,443
Mesosorus,443
Sticherus,443
Stromatopteris,443
Abrodictyum,444
Achomanes,444
Amphipterum,444
Apteropteris,444
Bergera,444
Buesia,444
Callistopteris,444
Cardiomanes,444
Cephalomanes,444
Craspedoneuron,444
Craspedophyllum,444
Crepidomanes,444
Crepidophyllum,444
Crepidopteris,444
Dermatophlebium,444
Didymoglossum,444
Feea,444
Gonocormus,444
Habrodictyon,444
Hemicyatheon,444
Hemiphlebium,444
Hymenoglossum,444
Hymenophyllum,444
Hymenostachys,444
Lacostea,444
Lacosteopsis,444
Leptocionium,444
Leucomanes,444
Macroglena,444
Maschalosorus,444
Mecodium,444
Meringium,444
Microgonium,444
Microtrichomanes,444
Mortoniopteris,444
Myriodon,444
Myrmecostylum,444
Nesopteris,444
Neuromanes,444
Neurophyllum,444
Pleuromanes,444
Polyphlebium,444
Pseudomecodium,444
Pteromanes,444
Ptilophyllum,444
Ptychophyllum,444
Pyxidaria,444
Reediella,444
Rosenstockia,444
Selanodesmium,444
Selenodesmium,444
Serpyllopsis,444
Sphaerocionium,444
Trichomanes,444
Trigonophyllum,444
Vandenboschia,444
Didymochlaena,445
Leucostegia,445
Guerinia,447
Isoloma,447
Lindsaea,447
Lindsaenium,447
Lindsayopsis,447
Nesolindsaea,447
Odontoloma,447
Odontosoria,447
Ormoloma,447
Osmolindsaea,447
Sambirania,447
Schizolegnia,447
Schizoloma,447
Sphenomeris,447
Stenoloma,447
Synaphlebium,447
Tapeinidium,447
Xyropteris,447
Cyclopeltis,448
Hemicardion,448
Heteroneurum,448
Heteronevron,448
Lepidoneuron,448
Lomariopsis,448
Thysanosoria,448
Antiosorus,449
Loxoma,450
Loxsoma,450
Loxsomopsis,450
Austrolycopodium,451
Dendrolycopodium,451
Diphasiastrum,451
Diphasium,451
Huperzia,451
Lepidotis,451
Lycopodiastrum,451
Lycopodiella,451
Lycopodiodes,451
Lycopodium,451
Palhinhaea,451
Phlegmariurus,451
Plananthus,451
Pseudodiphasium,451
Pseudolycopodiella,451
Pseudolycopodium,451
Spinulum,451
Urostachys,451
Cteisium,452
Hydroglossum,452
Lygodictyon,452
Lygodium,452
Ramondia,452
Ugena,452
Angiopteris,453
Archangiopteris,453
Christensenia,453
Danaea,453
Discostegia,453
Eupodium,453
Gymnotheca,453
Heterodanaea,453
Kaulfussia,453
Macroglossum,453
Marattia,453
Myriotheca,453
Psilodochea,453
Ptisana,453
Stibasia,453
Calamistrum,454
Lemma,454
Marsilea,454
Pilularia,454
Regnellidium,454
Zalusianskya,454
Zaluzianskia,454
Matonia,455
Phanerosorus,455
Prionopteris,455
Metaxya,456
Nephrolepis,457
Lepidonevron,458
Neuronia,458
Oleandra,458
Ophiopteris,458
Matteuccia,459
Onoclea,459
Onocleopsis,459
Pteretis,459
Pterinodes,459
Ragiopteris,459
Botrychium,460
Botryopteris,460
Botrypus,460
Cheiroglossa,460
Helminthostachys,460
Japanobotrychium,460
Japanobotrychum,460
Mankyua,460
Ophioderma,460
Ophioglossum,460
Osmundopteris,460
Rhizoglossum,460
Sceptridium,460
Leptopteris,461
Osmunda,461
Osmundastrum,461
Plenasium,461
Todea,461
Plagiogyria,462
Acrosorus,463
Adenophorus,463
Aglaomorpha,463
× Aglaonaria,463
Alansmia,463
Alcicornium,463
Amphoradenium,463
Anapausia,463
Anapeltis,463
Anarthropteris,463
Anaxetum,463
Apalophlebia,463
Arthromeris,463
Ascogrammitis,463
Belvisia,463
Calymmodon,463
Campylogramma,463
Campyloneurum,463
Candollea,463
Caobangia,463
Ceradenia,463
Cheilogramma,463
Cheiropteris,463
Christiopteris,463
Chrysogrammitis,463
Chrysopteris,463
Cochlidium,463
Colysis,463
Craspedaria,463
Crypsinopsis,463
Crypsinus,463
Cryptosorus,463
Ctenopterella,463
Ctenopteris,463
Cyclophorus,463
Cyrtophlebium,463
Dasygrammitis,463
Dendroconche,463
Dendroglossa,463
Diblemma,463
Dicranoglossum,463
Dictymia,463
Drymoglossum,463
Drymotaenium,463
Drynaria,463
Drynariopsis,463
Dryostachyum,463
Enterosora,463
Epidryopteris,463
Eschatogramme,463
Galeoglossa,463
Glyphotaenium,463
Goniophlebium,463
Grammatopteridium,463
Grammatopteris,463
Grammitis,463
Gymnogrammitis,463
Gyrosorium,463
Hemistachyum,463
Himalayopteris,463
Holcosorus,463
Holostachyum,463
Hyalolepis,463
Hymenolepis,463
Kaulinia,463
Kontumia,463
Lecanopteris,463
Lellingeria,463
Lemmaphyllum,463
Lepicystis,463
Lepidogrammitis,463
Lepidomicrosorium,463
Lepisorus,463
Leptochilus,463
Leucotrichum,463
Lomaphlebia,463
Lopholepis,463
Loxogramme,463
Luisma,463
Macroplethus,463
Marginaria,463
Mecosorus,463
Melpomene,463
Merinthosorus,463
Metapolypodium,463
Microgramma,463
Micropolypodium,463
Micropteris,463
Microsorum,463
Microterus,463
Moranopteris,463
Myrmecophila,463
Myrmecopteris,463
Nematopteris,463
Neocheiropteris,463
Neolepisorus,463
Nesoris,463
Neurodium,463
Neuroplatyceros,463
Nevrodium,463
Niphidium,463
Niphobolus,463
Nistarika,463
Oetosis,463
Oleandropsis,463
Oreogrammitis,463
Paltonium,463
Paragramma,463
Paraleptochilus,463
Paraselliguea,463
Pecluma,463
Pessopteris,463
Phlebodium,463
Photinopteris,463
Phymatopsis,463
Phymatopteris,463
Phymatosorus,463
Pichisermollia,463
Pichisermollodes,463
Platycerium,463
Platygyria,463
Plectopteris,463
Pleopeltis,463
Pleopodium,463
Pleuridium,463
Pleurogramme,463
Pleurosoriopsis,463
Podosorus,463
Polypodiastrum,463
Polypodiodes,463
Polypodiopsis,463
Polypodiopteris,463
Polypodium,463
Prosaptia,463
Pseudocolysis,463
Pseudodrynaria,463
Psygmium,463
Pteropsis,463
Pycnoloma,463
Pyrrosia,463
Radiogrammitis,463
Saxiglossum,463
Schellolepis,463
Scleroglossum,463
Scytopteris,463
Selliguea,463
Serpocaulon,463
Solanopteris,463
Sphaerostichum,463
Stenofilix,463
Stenogrammitis,463
Synammia,463
Terpsichore,463
Thayeria,463
Themelium,463
Thylacopteris,463
Tomophyllum,463
Tricholepidium,463
Weatherbya,463
Xiphopterella,463
Xiphopteris,463
Zygophlebia,463
Bernhardia,464
Psilotum,464
Tmesipteris,464
Acropteris,465
Acrostichum,465
Actiniopteris,465
Adianthum,465
Adiantopsis,465
Adiantum,465
Afropteris,465
Aleuritopteris,465
Allosorus,465
Ananthacorus,465
Anetium,465
Anogramma,465
Anopteris,465
Antrophyum,465
Argyrochosma,465
Aspidotis,465
Aspleniopsis,465
Astrolepis,465
Austrogramme,465
Bakeropteris,465
Bommeria,465
Calciphilopteris,465
Callogramme,465
Campteria,465
Cassebeera,465
Ceratodactylis,465
Ceratopteris,465
Ceropteris,465
Cerosora,465
Cheilanthes,465
Cheiloplecton,465
Cheilosoria,465
Choristosoria,465
Chrysochosma,465
Chrysodium,465
× Coniodictyogramme,465
Coniogramme,465
Copelandiopteris,465
Cosentinia,465
Craspedodictyum,465
Cryptogramma,465
Diclidopteris,465
Dictyogramme,465
Doryopteris,465
Dryopteris,465
Ellobocarpus,465
Eriochasma,465
× Eriosonia,465
Eriosonia,465
Eriosorus,465
Gymnogramma,465
Gymnopteris,465
Haplopteris,465
Hecistopteris,465
Hemionanthes,465
Hemionitis,465
Hemipteris,465
Heteropteris,465
Hewardia,465
Holttumia,465
Holttumiella,465
Idiogramma,465
Idiopteris,465
Jamesonia,465
Leptolepidium,465
Litobrochia,465
Llavea,465
