name,genus_id
antillanus,21945
bispinosus,21945
bustillosii,21945
caducifolius,21945
campylodontus,21945
ciliatus,21945
cinerascens,21945
cyaneus,21945
diversifolius,21945
dubius,21945
excisus,21945
lophocoleoides,21945
mittenii,21945
ochrophyllus,21945
patagonicus,21945
rhizophyllus,21945
saccatus,21945
septentrionalis,21945
spinifolius,21945
surculosus,21945
tenellus,21945
titibuensis,21945
unguiculatus,21945
wilsonii,21945
paradoxa,21946
thallina,21947
grossitextum,21948
unguiculatum,21948
belangeriana,21949
faminensis,21949
amplexifolia,21950
congesta,21950
glossophylla,21950
grandifolia,21950
naruto-toganensis,21950
radicosa,21950
abbreviatum,21951
gradsteinii,21951
knightii,21951
latifolium,21951
limbatum,21951
papillosum,21951
plagiochiloides,21951
renifolium,21951
durmmondii,21952
squamata,21952
africana,21953
glossophylla,21953
tabularis,21953
africanus,21954
anderssonii,21954
approximatus,21954
azoricus,21954
bicuspidatus,21954
bifidus,21954
bilobatus,21954
densiretis,21954
flavicans,21954
herzogii,21954
laxus,21954
madeirensis,21954
patagonicus,21954
pusillus,21954
ruwenzorensis,21954
setaceo-ciliatus,21954
tenellus,21954
urvilleanus,21954
viridis,21954
decipiens,21955
aureomarginata,21956
falcata,21956
occlusa,21956
pittieri,21956
squarrosa,21956
tenuis,21956
aureocinctum,21957
crossii,21957
decipiens,21957
densiretis,21958
inversa,21958
rotundifolia,21958
schusteriana,21958
moerckioides,21959
compacta,21960
crispula,21960
formosana,21960
golae,21960
laxa,21960
radiculosus,21961
auriculatum,21962
chlamydophyllum,21962
cordifolium,21962
cuspidatum,21962
draytonii,21962
giganteum,21962
trichocladium,21962
trifarium,21962
densissima,21963
jungermannioides,21963
madurensis,21963
minutissima,21963
pseudoconfervoides,21963
aduncum,21964
afrofluitans,21964
ambiguum,21964
arvernense,21964
auriculatum,21964
austroserpens,21964
badium x latifolium,21964
bandaiense,21964
brachiatum,21964
brachyphyllum,21964
brevipes,21964
calcareum,21964
camisassae,21964
campyliopsis,21964
cashii,21964
chalaropelma,21964
chrysophyllum,21964
closteri,21964
compactum,21964
cuspidarioides,21964
distantifolium,21964
elegantifolium,21964
enerve,21964
filicinum,21964
finmarchicum,21964
fluitans x aduncum,21964
fluviatile,21964
giganteum,21964
glaucum x falcatum,21964
glaziovii,21964
halleri,21964
haplocladium,21964
hausmannii,21964
hispidulum,21964
homalostegium,21964
humile,21964
intermedium,21964
intermedium x vernicosum,21964
irriguum,21964
jungermannioides,21964
kneiffii,21964
laxirete,21964
lescurii,21964
muelleri,21964
nigricans,21964
nivicalyx,21964
noterophilum,21964
obtusum,21964
orthothecioides,21964
patenti-flexuosum,21964
polygamum,21964
pseudosubtile,21964
pusillum,21964
relaxum,21964
riparium,21964
rishiriense,21964
rivicola,21964
robustifolium,21964
sapehinii,21964
serpens,21964
simplicinerve,21964
sipho,21964
smithii,21964
sommerfeltii,21964
sordidum,21964
sparsifolium,21964
sparsile,21964
speirophyllum,21964
squarrosulum,21964
stricto-serpens,21964
subenerve,21964
subtile,21964
subtrifarium,21964
subulatum,21964
tenax,21964
tenuifolium,21964
tenuissimum,21964
tibetanum,21964
trifarium,21964
tundrae,21964
turgescens,21964
uncinatum,21964
varium,21964
vernicosum,21964
wilsonii,21964
xerophilum,21964
rotundifolium,21965
curvicaulis,21966
amblyphyllum,21967
austrostramineum,21967
plesistramineum,21967
pseudostramineum,21967
tundrae,21967
aftonianum,21968
auriculatum,21968
brunneo-fuscum,21968
columbico-palustre,21968
cordifolium,21968
cuspidatum,21968
diluvianum,21968
eugyrium,21968
giganteum,21968
hansenae,21968
joveti-astii,21968
kayianum,21968
laxirete,21968
lonchopus,21968
luipichense,21968
macounii,21968
megalophyllum,21968
micans,21968
molle,21968
montanum,21968
nubigenum,21968
obtusifolium,21968
ochraceum,21968
orbicularicordatum,21968
palustre,21968
polare,21968
pseudo-arcticum,21968
pseudomontanum,21968
pseudosarmentosum,21968
purum,21968
richardsonii,21968
sarmentosum,21968
stramineum,21968
subgiganteum,21968
subsarmentosum,21968
subturgescens,21968
tundrae,21968
viridulum,21968
wickesii,21968
chrysophyllus,21969
elodes,21969
glaucocarpoides,21969
polygamus,21969
protensus,21969
stellatus,21969
calcareum,21970
creperum,21970
hispidulum,21970
lacerulum,21970
porphyreticum,21970
praegracile,21970
quisqueyanum,21970
sommerfeltii,21970
squarrosobyssoides,21970
trichocladum,21970
adscendens,21971
amblystegioides,21971
annamense,21971
arcticum,21971
calcareum,21971
campylophylloides,21971
cardotii,21971
chrysophyllum,21971
courtoisii,21971
creperum,21971
elodes,21971
fitz-geraldii,21971
glaucocarpoides,21971
gollanii,21971
halleri,21971
hispidulum,21971
husnotii,21971
hylocomioides,21971
insubricum,21971
lacerulum,21971
laxifolium,21971
longicuspis,21971
pachytheca,21971
polygamum,21971
porphyreticum,21971
praegracile,21971
pseudochrysophyllum,21971
pseudocomplexum,21971
pulchrum,21971
quisqueyanum,21971
radicale,21971
riparium,21971
rufo-chryseum,21971
serratifolium,21971
sommerfeltii,21971
squarrosulum,21971
stellatum,21971
subdecursivulum,21971
tenerum,21971
treleasei,21971
trichocladum,21971
uninervium,21971
zemliae,21971
brachycarpum,21972
chrysophyllum,21972
decursivulum,21972
elodes,21972
hispidulum,21972
polygamum,21972
protensum,21972
riparium,21972
sommerfeltii,21972
stellatum,21972
compacta,21973
commutatovirescens,21974
commutatum,21974
drepanocladioides,21974
falcatum,21974
filicinum,21974
formosanum,21974
kerguelense,21974
latifolium,21974
mendozense,21974
oedogonium,21974
perplicatum,21974
subsulcatum,21974
sulcatoirrigatum,21974
tenerrimum,21974
williamsii,21974
chilensis,21975
relaxa,21975
subrelaxa,21975
bartramii,21976
macroneuron,21976
