name,genus_id
alba,21012
atropurpurea,21012
australis,21012
borneensis,21012
dammara,21012
flavescens,21012
hami,21012
kinabaluensis,21012
labillardierei,21012
lanceolata,21012
lenticula,21012
macrophylla,21012
macrostrobila,21012
microstachya,21012
montana,21012
moorei,21012
orbicula,21012
ovata,21012
philippinensis,21012
robusta,21012
silbae,21012
spinulosa,21012
angustifolia,21013
araucana,21013
bernieri,21013
bidwillii,21013
biramulata,21013
columnaris,21013
cunninghamii,21013
heterophylla,21013
humboldtensis,21013
hunsteinii,21013
laubenfelsii,21013
luxurians,21013
montana,21013
muelleri,21013
nemorosa,21013
rulei,21013
schmidii,21013
scopulorum,21013
subulata,21013
brasiliensis,21014
compacta,21015
nobilis,21016
acuminatus,21017
arenarius,21017
pyramidalis,21017
cupressoides,21018
laxifolia,21018
selaginoides,21018
chilensis,21019
baileyi,21020
canescens,21020
columellaris,21020
drummondii,21020
endlicheri,21020
macleayana,21020
monticola,21020
muelleri,21020
neocaledonica,21020
oblonga,21020
preissii,21020
rhomboidea,21020
roei,21020
sinensis,21020
sulcata,21020
verrucosa,21020
pygmaea,21021
decurrens,21022
formosana,21022
macrolepis,21022
rupestris,21022
flifera,21023
formosensis,21023
forsteckiensis,21023
lawsoniana,21023
obtusa,21023
pisifera,21023
thyoides,21023
japonica,21024
konishii,21025
lanceolata,21025
amoena,21026
arizonica,21026
bakeri,21026
balfouriana,21026
breviramis,21026
cashmeriana,21026
chengiana,21026
duclouxiana,21026
dupreziana,21026
elegans,21026
ericoides,21026
funebris,21026
gigantea,21026
goveniana,21026
guadalupensis,21026
hickelii,21026
hybrida,21026
leylandii,21026
loritiensis,21026
lusitanica,21026
macnabiana,21026
macrocarpa,21026
madeirensis,21026
nivea,21026
nootkatensis,21026
notabilis,21026
ovensii,21026
religiosa,21026
sargentii,21026
sempervirens,21026
thuia,21026
tonkinensis,21026
torulosa,21026
torulosa,21026
torulosis,21026
ugelii,21026
vietnamensis,21026
archeri,21027
cupressoides,21028
hodginsii,21029
pensilis,21030
ambigens,21031
angosturana,21031
arizonica,21031
ashei,21031
australis,21031
barbadensis,21031
bermudiana,21031
blancoi,21031
bregeonii,21031
brevifolia,21031
californica,21031
cedrus,21031
chinensis,21031
coahuilensis,21031
comitana,21031
