name,genus_id
asper,21107
abbottii,21108
abscissa,21108
adiantifolia,21108
affinis,21108
alfredi-rohrii,21108
alternifolia,21108
angolensis,21108
antrorsa,21108
aspera,21108
australis,21108
ayacuchensis,21108
barbatula,21108
bartlettii,21108
blackii,21108
blechnoides,21108
brandegeea,21108
breuteliana,21108
buniifolia,21108
caffrorum,21108
candidoi,21108
caudata,21108
cheilanthoides,21108
cicutaria,21108
ciliata,21108
ciliata x phyllitidis,21108
cipoensis,21108
clinata,21108
coccinea,21108
colimensis,21108
collina,21108
collina x phyllitidis,21108
cordifolia,21108
coriacea,21108
costata,21108
cuneata,21108
damazii,21108
dardanoi,21108
deltoidea,21108
densa,21108
dentata,21108
didicusana,21108
dissecta,21108
diversifolia,21108
donnell-smithii,21108
dregeana,21108
duartei,21108
elaphoglossoides,21108
elegans,21108
espiritosantensis,21108
familiaris,21108
ferruginea,21108
filiculifolia,21108
filiformis,21108
flexuosa,21108
flexuosa x phyllitidis,21108
fulva,21108
gardneri,21108
gardneriana,21108
glareosa,21108
glaziovii,21108
glomerata,21108
gomesii,21108
gracilis,21108
grossilobata,21108
guatemalensis,21108
hatschbachii,21108
herzogii,21108
heterodoxa,21108
hirsuta,21108
hirsuta x phyllitidis,21108
hirta,21108
hispida,21108
imbricata,21108
incisa,21108
jaliscana,21108
karwinskyana,21108
karwinskyanum,21108
kunzeana,21108
laciniata,21108
lancea,21108
lanceolata,21108
langsdorffiana,21108
lanipes,21108
lanuginosa,21108
laxa,21108
lepigera,21108
longifolia,21108
luetzelburgii,21108
madagascariensis,21108
mandioccana,21108
mandioccana,21108
marginalis,21108
marginata,21108
media,21108
mexicana,21108
microstachys,21108
millefolia,21108
mirabilis,21108
mohriana,21108
multiplex,21108
munchii,21108
myriophylla,21108
nana,21108
nervosa,21108
nigerica,21108
nudiuscula,21108
obliqua,21108
oblonga,21108
oblongifolia,21108
obovata,21108
obtusa,21108
organensis,21108
ouropretana,21108
pallida,21108
palmarum,21108
paraphyllitidis,21108
pastinacaria,21108
perrieriana,21108
phyllitidis,21108
phyllitidis x flexuosa,21108
